instance;Gurobi;GA0;GA3;GA4;LocalSolverNative0;LocalSolverNative3;LocalSolverNative4
j306_6;93.836807;93.836807;93.836807;93.836807;93.836807;93.836807;93.836807
j306_7;64.632652;64.632652;64.632652;64.632652;64.632652;64.632652;64.632652
j306_8;87;87;87;87;87;87;87
j306_9;56.306122;56.306122;56.306122;56.306122;56.306122;56.306122;56.306122
j307_10;25.65625;25.65625;25.65625;25.65625;25.65625;25.65625;25.65625
j307_3;25.73;25.73;25.73;25.73;25.73;25.73;25.73
j307_5;29.507813;29.03125;29.507813;29.03125;29.507813;29.507813;29.507813
j307_6;28;28;28;28;28;28;28
j307_7;22;22;22;22;22;22;22
j307_8;15.183674;15.183674;15.183674;15.183674;15.183674;15.183674;15.183674
j307_9;26.5;26.5;26.5;26.5;26.5;26.5;26.5
j309_5;144.759766;153.006348;152.006348;153.006348;153.006348;151.90625;151.40625
