instance;Gurobi;GA beta;GA zr;GA zrt;LS beta;LS zr;LS zrt
j12015_5;769.5;769.5;769.5;769.5;769.5;769.5;769.5
j12015_6;595;595;595;595;595;595;595
j12015_7;877.5;877.5;877.5;877.5;877.5;877.5;877.5
j12016_1;0;2564.117676;2587.059326;2606.117676;2521.117676;2557.297852;1914.522339
j12016_10;0;2530.981201;2558.481201;2565.648438;2537.4729;2502.144043;1884.703247
j12016_2;0;2796.169189;2811.875;2812.875;2766.089355;2791.202393;2389.656982
j12016_3;0;2905.79248;2939;2981.080322;2853.347656;2881.580322;2152.186768
j12016_4;0;2435.513916;2460.513916;2457.664551;2398.520996;2391.867188;1759.648315
j12016_5;0;2598.901611;2613.783936;2602.266357;2528.713867;2534.812012;1474.470825
j12016_6;0;2741.544434;2770.949463;2798.841553;2686.058105;2674.639648;2079.845215
j12016_7;0;2678.34082;2694.84082;2702.84082;2608.558105;2660.454346;2263.798096
j12016_8;0;2575.422363;2590.097656;2613.597656;2540.87793;2539.007568;2153.751465
j12016_9;0;2658.630127;2686.709473;2703.709473;2616.703369;2682.706299;2050.263672
j12017_1;0;2528.759766;2536.177734;2534.677734;2511.259766;2528.688477;2349.698975
j12017_10;0;2737.237305;2743.36084;2770.666992;2711.170166;2726.86084;2527.967529
j12017_2;0;2430.623291;2421.059326;2412.559326;2407.909424;2411.123291;2219.989746
j12017_3;0;2253.860107;2242.697266;2257.360107;2223.916016;2236.197266;1895.095337
j12017_4;0;2754.281738;2745.589355;2754.781738;2734.781738;2728.485352;2499.311523
j12017_5;0;2236.032959;2235.425781;2236.526855;2119.834473;2210.925781;1998.574219
j12017_6;0;2092.375;2084.375;2088.452637;2054.314697;2069.873291;1782.833374
j12017_7;0;2538.733643;2547.624023;2556.830322;2535.330322;2534.624023;2259.775879
j12017_8;0;2100.072021;2089.374023;2098.530518;2085.874023;2074.572021;1733.094238
j12017_9;0;2310.972656;2300.942627;2307.442627;2275.947754;2292.975098;1954.046875
j12018_1;0;1833.925049;1831.30542;1832.925049;1809.397949;1814.397949;1697.861084
j12018_10;0;2265.436523;2266.936523;2257.573242;2250.073242;2246.961182;2078.058838
j12018_2;0;1782.067871;1787.668579;1793.567871;1765.402832;1770.067871;1726.90625
j12018_3;0;1936.361572;1939.861572;1936.861572;1918.860107;1919.360107;1866.508545
j12018_4;0;1895.979736;1891.486694;1894.345337;1885.486694;1895.479736;1776.414551
j12018_5;0;2320.43335;2328.328857;2318.43335;2270.114502;2305.157715;2238.803467
